source_name,source_url,evidence_date,evidence_status,design_name_original,name_en_suggestion,scene,tags,visible_price,currency,wrist_or_wear_info,full_design_image_evidence,recipe_evidence,rebuildable_with_approved_variants,missing_information,notes
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-13,verified-public,院香,Courtyard Fragrance,design-gallery,金;木;助力学业;净化磁场;健康平安;安神助眠;辟邪护身,,,,微信桌面端小程序“珠了个珠”首页设计广场截图（2026-07-13，可见完整手串缩略图）,not-visible,no,配方;单品尺寸;价格;手围;可用素材明细,设计广场用户作品，作者@一厢旧梦，1104次使用；非官方预设结论。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-13,verified-public,月序,Moon Sequence,design-gallery,金;木;水;火;土;助力学业;提升人缘;辟邪护身;健康平安;净化磁场;沟通表达;自信气场;稳定情绪;安神助眠;防小人;爱情姻缘;招米守米;事业顺遂;活力气血;美容养颜;招贵人,,,,微信桌面端小程序“珠了个珠”首页设计广场截图（2026-07-13，可见完整手串缩略图）,not-visible,no,配方;单品尺寸;价格;手围;可用素材明细,设计广场用户作品，作者@你好，240次使用；非官方预设结论。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-13,verified-public,葡萄气泡,Grape Soda,design-gallery,金;火;学业;净化磁场;招贵人;自信魅力;人缘;事业;招米;姻缘;安神助眠,,,,微信桌面端小程序“珠了个珠”首页设计广场截图（2026-07-13，可见完整手串缩略图）,not-visible,no,配方;单品尺寸;价格;手围;可用素材明细,设计广场用户作品，作者@一一，749次使用；非官方预设结论。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-13,verified-public,薄荷青柠茶,Mint Lime Tea,design-gallery,金;木;招贵人;招米守米;爱情姻缘;提升人缘;健康平安;助力学业;稳定情绪,,,,微信桌面端小程序“珠了个珠”首页设计广场截图（2026-07-13，可见完整手串缩略图）,not-visible,no,配方;单品尺寸;价格;手围;可用素材明细,设计广场用户作品，作者@시드니，698次使用；非官方预设结论。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-13,verified-public,甜心菠萝,Sweetheart Pineapple,design-gallery,金;土;招米守米;事业顺遂;美容养颜;招贵人;助力学业;净化磁场;稳定情绪,,,,微信桌面端小程序“珠了个珠”首页设计广场截图（2026-07-13，可见完整手串缩略图）,not-visible,no,配方;单品尺寸;价格;手围;可用素材明细,设计广场用户作品，作者@ZMQ，261次使用；非官方预设结论。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-13,verified-public,玄霜序,Mysterious Frost Sequence,design-gallery,金;水;活力气血;美容养颜;助力学业;健康平安;净化磁场;防小人;安神助眠,,,,微信桌面端小程序“珠了个珠”首页设计广场截图（2026-07-13，可见完整手串缩略图）,not-visible,no,配方;单品尺寸;价格;手围;可用素材明细,设计广场用户作品，作者@续约，459次使用；非官方预设结论。
晶奥之境,#小程序://晶奥之境/UKkFvNofsbW8QBi,2026-07-13,verified-public,来米,Lai Mi,finished-bracelet,,198,CNY,,微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13）,白水晶12MM;黄胶花12MM;黑金超深12MM;黄塔晶11MM;柠檬晶11MM;金虎眼10MM,no,手围;各珠数量;配件;线材;包装,库存100；成品卡可见且配方为卡片文字。
晶奥之境,#小程序://晶奥之境/UKkFvNofsbW8QBi,2026-07-13,verified-public,春色寄情人,Spring Colors Send Affection,finished-bracelet,,198,CNY,,微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13）,海蓝宝;马粉;紫阿赛;星光莫粉,no,手围;尺寸;各珠数量;配件;线材;包装,库存100；成品卡可见且配方为卡片文字。
晶奥之境,#小程序://晶奥之境/UKkFvNofsbW8QBi,2026-07-13,verified-public,智慧双生,Twin Wisdom,finished-bracelet,,159,CNY,,微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13）,紫水晶8MM;黄塔晶9MM;白水晶6MM,no,手围;各珠数量;配件;线材;包装,库存100；成品卡可见且配方为卡片文字。
晶奥之境,#小程序://晶奥之境/UKkFvNofsbW8QBi,2026-07-13,verified-public,紫气东来,Purple Fortune Arrives,finished-bracelet,,175,CNY,,微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13）,紫水晶8MM;白阿塞13MM,no,手围;各珠数量;配件;线材;包装,库存100；成品卡可见且配方为卡片文字。
晶奥之境,#小程序://晶奥之境/UKkFvNofsbW8QBi,2026-07-13,verified-public,棕棣,Zong Di,finished-bracelet,,135,CNY,,微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13）,黑金超七10MM;冰曜石10MM,no,手围;各珠数量;配件;线材;包装,库存100；成品卡可见且配方为卡片文字。
晶奥之境,#小程序://晶奥之境/UKkFvNofsbW8QBi,2026-07-13,verified-public,紫运宏图,Grand Purple Fortune,finished-bracelet,,289,CNY,,微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13）,白兔毛6MM;紫锂辉12MM;白水晶12MM;乌拉圭紫水晶12MM×2;紫阿赛12MM;紫马粉12MM,no,手围;其他珠数量;配件;线材;包装,库存100；成品卡可见且配方为卡片文字。
晶奥之境,#小程序://晶奥之境/UKkFvNofsbW8QBi,2026-07-13,verified-public,绵绵芭蕾,Gentle Ballet,finished-bracelet,,168,CNY,,微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13）,海蓝宝10MM;黄塔晶11MM;粉水晶11MM;草莓晶11MM;薰衣草紫11MM;紫兔毛10MM;柠檬晶11MM;白水晶8MM,no,手围;各珠数量;配件;线材;包装,库存100；成品卡可见且配方为卡片文字。
晶奥之境,#小程序://晶奥之境/UKkFvNofsbW8QBi,2026-07-13,verified-public,缤纷夏日,Colorful Summer,finished-bracelet,,189,CNY,,微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13）,海蓝宝6MM;粉水晶12MM,no,手围;各珠数量;配件;线材;包装,库存100；成品卡可见且配方为卡片文字。
记珠,#小程序://记珠/eF6cF6jK1Ibdvpp,2026-07-13,verified-public,风遇海,Wind Meets the Sea,template,经典;稳定磁场;处女座,78,CNY,,微信桌面端小程序“优瑞塔记珠”热门作品模板截图（2026-07-13，可见完整手串图）,清透白水晶;海蓝宝,no,完整配方;各珠尺寸;数量;配件;线材;包装,热门作品模板；可见“借鉴模板”入口；清透白水晶像温柔的晚风；海蓝宝带来平静与舒展。
记珠,#小程序://记珠/eF6cF6jK1Ibdvpp,2026-07-13,verified-public,软桃甜心,Soft Peach Sweetheart,template,优雅;心想事成;喜水,102,CNY,,微信桌面端小程序“优瑞塔记珠”热门作品模板截图（2026-07-13，可见完整手串图）,not-visible,no,完整配方;各珠尺寸;数量;配件;线材;包装,热门作品模板；可见“借鉴模板”入口；给思思的；祝高考顺利。
记珠,#小程序://记珠/eF6cF6jK1Ibdvpp,2026-07-13,verified-public,喜木火水,Wood Fire Water Joy,template,事业;处女座;喜水,230,CNY,,微信桌面端小程序“优瑞塔记珠”热门作品模板截图（2026-07-13，可见完整手串图）,not-visible,no,完整配方;各珠尺寸;数量;配件;线材;包装,热门作品模板；可见“借鉴模板”入口；我会成功考上的！
记珠,#小程序://记珠/eF6cF6jK1Ibdvpp,2026-07-13,verified-public,紫气东来,Purple Fortune Arrives,template,创意;转运;水瓶座,185,CNY,,微信桌面端小程序“优瑞塔记珠”热门作品模板截图（2026-07-13，可见完整手串图）,not-visible,no,完整配方;各珠尺寸;数量;配件;线材;包装,热门作品模板；可见“借鉴模板”入口；旺学业。
