序号,标题,关键词,搜索量,KD,CPC,意图,内容类型,优先级,对应页面/产品,Brief状态
1,Amethyst Meaning: Complete Guide to the Stone of Peace,amethyst meaning,90500,待补,待补,Informational,百科,P0,/blog/amethyst-meaning,待写
2,Rose Quartz Meaning: The Ultimate Love Stone Guide,rose quartz meaning,74000,待补,待补,Informational,百科,P0,/blog/rose-quartz-meaning,待写
3,Citrine Meaning: Stone of Wealth and Abundance,citrine meaning,49500,待补,待补,Informational,百科,P0,/blog/citrine-meaning,待写
4,Black Tourmaline Meaning: Protection Stone Guide,black tourmaline meaning,40500,待补,待补,Informational,百科,P0,/blog/black-tourmaline-meaning,待写
5,Clear Quartz Meaning: Master Healer Crystal Guide,clear quartz meaning,33100,待补,待补,Informational,百科,P0,/blog/clear-quartz-meaning,待写
6,Tiger Eye Meaning: Stone of Courage and Protection,tiger eye meaning,27100,待补,待补,Informational,百科,P0,/blog/tiger-eye-meaning,待写
7,Moonstone Meaning: Stone of New Beginnings,moonstone meaning,22200,待补,待补,Informational,百科,P0,/blog/moonstone-meaning,待写
8,Lapis Lazuli Meaning: Stone of Wisdom,lapis lazuli meaning,18100,待补,待补,Informational,百科,P0,/blog/lapis-lazuli-meaning,待写
9,Obsidian Meaning: Stone of Protection,obsidian meaning,22200,待补,待补,Informational,百科,P0,/blog/obsidian-meaning,待写
10,Howlite Meaning: Stone of Calm and Patience,howlite meaning,12100,待补,待补,Informational,百科,P0,/blog/howlite-meaning,待写
11,Selenite Meaning: Stone of Clarity,selenite meaning,14800,待补,待补,Informational,百科,P0,/blog/selenite-meaning,待写
12,Fluorite Meaning: Stone of Focus,fluorite meaning,12100,待补,待补,Informational,百科,P0,/blog/fluorite-meaning,待写
13,Green Aventurine Meaning: Stone of Luck,green aventurine meaning,9900,待补,待补,Informational,百科,P0,/blog/green-aventurine-meaning,待写
14,Carnelian Meaning: Stone of Motivation,carnelian meaning,9900,待补,待补,Informational,百科,P0,/blog/carnelian-meaning,待写
15,Pyrite Meaning: Stone of Wealth,pyrite meaning,8100,待补,待补,Informational,百科,P0,/blog/pyrite-meaning,待写
16,Best Crystals for Anxiety: Complete Guide,crystals for anxiety,90500,待补,待补,Informational,博客,P0,/blog/crystals-for-anxiety,待写
17,Best Crystals for Sleep: Ultimate Guide,crystals for sleep,60500,待补,待补,Informational,博客,P0,/blog/crystals-for-sleep,待写
18,Crystals for Love: How to Attract Love,crystals for love,49500,待补,待补,Informational,博客,P0,/blog/crystals-for-love,待写
19,Crystals for Protection: Complete Guide,crystals for protection,33100,待补,待补,Informational,博客,P0,/blog/crystals-for-protection,待写
20,Crystals for Wealth and Prosperity,crystals for wealth,27100,待补,待补,Informational,博客,P0,/blog/crystals-for-wealth,待写
21,Crystals for Focus and Concentration,crystals for focus,22200,待补,待补,Informational,博客,P0,/blog/crystals-for-focus,待写
22,Crystals for Stress Relief,crystals for stress,22200,待补,待补,Informational,博客,P0,/blog/crystals-for-stress,待写
23,Crystals for Confidence,crystals for confidence,14800,待补,待补,Informational,博客,P0,/blog/crystals-for-confidence,待写
24,Crystals for New Beginnings,crystals for new beginnings,12100,待补,待补,Informational,博客,P0,/blog/crystals-for-new-beginnings,待写
25,Crystals for Positive Energy,crystals for positive energy,14800,待补,待补,Informational,博客,P0,/blog/crystals-for-positive-energy,待写
26,How to Cleanse Crystals: 7 Proven Methods,how to cleanse crystals,90500,待补,待补,Informational,博客,P0,/blog/how-to-cleanse-crystals,待写
27,How to Charge Crystals: Complete Guide,how to charge crystals,49500,待补,待补,Informational,博客,P0,/blog/how-to-charge-crystals,待写
28,How to Program Crystals with Intentions,how to program crystals,22200,待补,待补,Informational,博客,P0,/blog/how-to-program-crystals,待写
29,How to Choose Your First Crystal,how to choose crystals,18100,待补,待补,Informational,博客,P0,/blog/how-to-choose-crystals,待写
30,How to Use Crystals for Meditation,crystals for meditation,33100,待补,待补,Informational,博客,P0,/blog/crystals-for-meditation,待写
31,How to Wear Crystal Bracelets,how to wear crystal bracelets,8100,待补,待补,Informational,博客,P0,/blog/how-to-wear-crystal-bracelets,待写
32,How to Activate Your Crystals,how to activate crystals,12100,待补,待补,Informational,博客,P0,/blog/how-to-activate-crystals,待写
33,How to Store Crystals Properly,how to store crystals,6600,待补,待补,Informational,博客,P0,/blog/how-to-store-crystals,待写
34,7 Chakras Complete Guide for Beginners,chakras for beginners,40500,待补,待补,Informational,博客,P0,/blog/chakras-for-beginners,待写
35,Root Chakra: Stones and How to Heal,root chakra crystals,14800,待补,待补,Informational,博客,P0,/blog/root-chakra-crystals,待写
36,Sacral Chakra: Stones and Healing,sacral chakra crystals,6600,待补,待补,Informational,博客,P0,/blog/sacral-chakra-crystals,待写
37,Solar Plexus Chakra Guide,solar plexus crystals,5400,待补,待补,Informational,博客,P0,/blog/solar-plexus-crystals,待写
38,Heart Chakra Stones and Healing,heart chakra crystals,8100,待补,待补,Informational,博客,P0,/blog/heart-chakra-crystals,待写
39,Throat Chakra: Communication Stone Guide,throat chakra crystals,4400,待补,待补,Informational,博客,P0,/blog/throat-chakra-crystals,待写
40,Third Eye and Crown Chakra Guide,third eye chakra crystals,6600,待补,待补,Informational,博客,P0,/blog/third-eye-chakra-crystals,待写
41,Crystal Beginner's Guide PDF,crystal beginner guide,待补,待补,待补,Informational,工具页/Lead Magnet,P0,/downloads/crystal-beginners-guide,待写
42,Find Your Crystal Quiz,find your crystal,待补,待补,待补,Informational,工具页/Lead Magnet,P0,/tools/find-your-crystal-quiz,待写
43,2026 Moon Calendar PDF,moon calendar 2026,待补,待补,待补,Informational,工具页/Lead Magnet,P0,/downloads/moon-calendar-2026,待写
44,Angel Numbers Quick Guide,angel numbers guide,待补,待补,待补,Informational,工具页/Lead Magnet,P0,/downloads/angel-numbers-guide,待写
45,Chakra Balance Quick Test,chakra balance test,待补,待补,待补,Informational,工具页/Lead Magnet,P0,/tools/chakra-balance-test,待写
46,Full Moon Ritual Checklist,full moon ritual checklist,待补,待补,待补,Informational,工具页/Lead Magnet,P0,/downloads/full-moon-ritual-checklist,待写
47,Lucky Crystals for Each Zodiac Sign in 2026,zodiac crystals,待补,待补,待补,Informational,博客,P1,/blog/zodiac-crystals-2026,待写
48,Best Crystals to Attract Wealth and Money,crystals for money,待补,待补,待补,Commercial,博客,P1,/blog/crystals-for-money,待写
49,Love Horoscope: Crystals to Attract Your Soulmate,love crystals zodiac,待补,待补,待补,Commercial,博客,P1,/blog/love-crystals-zodiac,待写
50,Which Crystal to Carry for Job Interview Success,crystals for job interview,待补,待补,待补,Commercial,博客,P1,/blog/crystals-for-job-interview,待写
51,Signs the Universe Is Sending You Money,signs universe money,待补,待补,待补,Informational,博客,P1,/blog/signs-universe-money,待写
52,Crystals That Protect You from Toxic People,crystals toxic people,待补,待补,待补,Informational,博客,P1,/blog/crystals-toxic-people,待写
53,Your 2026 Crystal Horoscope by Birth Month,birth month crystals,待补,待补,待补,Informational,博客,P1,/blog/birth-month-crystals-2026,待写
54,Best Crystals for Empaths and Highly Sensitive People,crystals for empaths,待补,待补,待补,Informational,博客,P1,/blog/crystals-for-empaths,待写
55,Manifestation Crystals: How to Make Your Wishes Come True,manifestation crystals,待补,待补,待补,Commercial,博客,P1,/blog/manifestation-crystals,待写
56,Friday 13th: Superstitions and Protective Crystals,friday 13th superstitions,待补,待补,待补,Informational,博客,P1,/blog/friday-13th-superstitions-crystals,待写
57,Mercury Retrograde Survival Guide: 5 Crystals You Need,mercury retrograde crystals,待补,待补,待补,Informational,博客,P1,/blog/mercury-retrograde-crystals,待写
58,Full Moon Crystal Charging Ritual: Complete Guide,full moon crystal charging,待补,待补,待补,Informational,月相文章,P1,/blog/full-moon-crystal-charging,待写
