source_name,evidence_date,category_level_1,category_level_2,display_order,directory_status,evidence_method,notes
灵感石验室StoneLAB,2026-07-15,水晶,白水晶,1,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,粉水晶,2,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,紫水晶,3,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,海蓝宝,4,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,黄水晶,5,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,绿水晶,6,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,胶花,7,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,幽灵,8,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,草莓晶,9,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,蓝晶石,10,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,茶晶,11,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,黑金超七,12,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,发晶/兔毛,13,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,水晶,闪灵,14,directory_locked,用户提供的完整顺序,"排除正在使用和所有水晶等聚合入口"
灵感石验室StoneLAB,2026-07-15,天然石,南红玛瑙,8,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,天然石,绿龙晶,9,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,天然石,紫云母,10,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,天然石,其他,11,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,配饰,隔珠/隔片,2,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,配饰,魔盒,3,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,配饰,花托,4,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,配饰,跑环,5,directory_locked,用户提供的完整顺序,"用户纠正此前误记的跳环"
灵感石验室StoneLAB,2026-07-15,随型,方糖,2,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,随型,双尖,3,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,随型,雕件,4,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,随型,切面珠,5,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,配饰,吊坠/挂件,1,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,随型,水晶随型,1,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,天然石,紫锂辉,2,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,天然石,虎眼石,3,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,天然石,萤石,4,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,天然石,月光拉长石,5,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,天然石,岫玉,1,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,天然石,曜石,6,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
灵感石验室StoneLAB,2026-07-15,天然石,天河石,7,directory_locked,用户提供的完整顺序,"不再通过界面重复读取"
