"source_name","source_url","evidence_date","evidence_status","category_level_1","category_level_2","category_level_3","component_type","product_name_original","variant_name_original","size_mm","price_visible","currency","unit_type","image_local_path_or_cache_folder","image_mapping_status","material_or_color","product_attributes","compatible_bead_sizes","orientation_mode","notes","production_ready"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","白阿塞","10mm","10","5","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","高品净体白水晶","10mm","10","11","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","白水晶","10mm","10","7","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","莫粉","10mm","10","17","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","西柚粉晶","10mm","10","8","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","粉晶","10mm","10","13","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","紫马粉","10mm","10","17","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","薰衣草","10mm","10","12","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","巴西紫水晶","10mm","10","25","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","高品玻利维亚紫水晶","10mm","10","45","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
"灵感石","#小程序://灵感石/jfAvHSTbnwrvrYk","2026-07-13","verified-public","水晶","","","bead","乌拉圭紫水晶","10mm","10","25","CNY","single-bead","domestic-image-evidence-20260713/灵感石/raw-cache (182 images; product mapping pending)","cache-downloaded-unmapped","unspecified","","","","公开单颗价；当前DIY素材库可见；页面一级分类已核实：水晶/天然石/配饰/随型/文玩（2026-07-14）","no"
