source_name,source_url,evidence_date,evidence_status,design_id,design_name_original,author_original,created_date,usage_count,like_count,five_elements,tags,design_image_evidence,recipe_status,source_displayed_price_sum,source_quantity_multiplied_total,source_price_unit_status,earthward_preset_candidate_status,earthward_material_mapping_status,earthward_price_status,earthward_image_status,woo_status,notes
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-judiaoriguang,橘调日光,韵韵,2026-06-03,491,23,金;土,招米守米;事业顺遂;助力学业;健康平安;招贵人;稳定情绪;净化磁场,visible-in-authorized-session,complete-visible,104.00,208.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 9 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-muzhilanqing,木质蓝鲸,Ashley,2026-06-03,219,12,金;木;水,招贵人;事业顺遂;安神助眠;活力气血;稳定情绪;自信气场;净化磁场,visible-in-authorized-session,complete-visible,114.50,320.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 6 项；作者名界面含 emoji，仅保留可读文字；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-jinzhao,金昭,微信用户,2026-06-04,273,14,金;火;土,招米守米;爱情姻缘;事业顺遂;稳定情绪;辟邪护身;提升人缘;健康平安,visible-in-authorized-session,complete-visible,78.00,596.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 8 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-zidingshangan,紫定上岸,啦啦啦,2026-06-08,329,18,金;火,助力学业;招米守米;爱情姻缘;事业顺遂;招贵人;活力气血;美容养颜;安神助眠;稳定情绪;沟通表达;健康平安,visible-in-authorized-session,complete-visible,25.00,163.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 6 项；作者名界面含 emoji，仅保留可读文字；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-jinzhuyingfu,金珠迎福,Dy,2026-06-13,323,8,金,招米守米;事业顺遂;招贵人;自信气场;辟邪护身,visible-in-authorized-session,complete-visible,56.50,170.50,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 6 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-chanhui,忏悔,一杯薄荷茶,2026-06-13,204,17,金;水;火,美容养颜;自信气场;稳定情绪;安神助眠;健康平安;事业顺遂;辟邪护身,visible-in-authorized-session,complete-visible,21.00,77.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 7 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-zhaohelu,昭和录,world妈呀!,2026-06-15,392,38,金;火,爱情姻缘;提升人缘;招贵人;活力气血;美容养颜;安神助眠,visible-in-authorized-session,complete-visible,53.50,113.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 11 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-fuxinggaozhao,福星高照,枕月,2026-06-15,290,23,金;水;火,防小人;辟邪护身;健康平安;净化磁场;安神助眠;招贵人;美容养颜,visible-in-authorized-session,complete-visible,52.50,85.50,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 7 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-danning,丹凝,小七,2026-06-16,100,2,金;木;火,活力气血;美容养颜;安神助眠;健康平安;提升人缘;招贵人,visible-in-authorized-session,complete-visible,120.00,866.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 5 项；来源图仅作证据及 Earthward 重绘参考。
珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,zhulegezhu-design-square-20260714-yuexu,月序,你好,2026-06-23,246,13,金;木;水;火;土,助力学业;提升人缘;辟邪护身;健康平安;净化磁场;沟通表达;自信气场;稳定情绪;安神助眠;防小人;爱情姻缘;招米守米;事业顺遂;活力气血;美容养颜;招贵人,visible-in-authorized-session,complete-visible,245.00,557.00,unconfirmed,ready-for-material-mapping,pending,pending,pending,research-only,详情页原材料清单可见 8 项；来源图仅作证据及 Earthward 重绘参考。
